Question,Completely_disagree,Disagree,Somewhat_disagree,Neutral,Somewhat_agree,Agree,Completely_agree
1,0.0,0.0,0.0,0.0,0.33,0.17,0.5
2,0.0,0.0,0.0,0.0,0.0,0.17,0.83
3,0.0,0.0,0.0,0.0,0.0,0.17,0.83
4,0.0,0.0,0.0,0.0,0.0,0.17,0.83
5,0.0,0.0,0.0,0.0,0.0,0.17,0.83
6,0.0,0.0,0.0,0.17,0.0,0.33,0.5
7,0.0,0.0,0.0,0.0,0.0,0.5,0.5
8,0.0,0.0,0.0,0.17,0.0,0.0,0.83
9,0.0,0.0,0.0,0.0,0.0,0.33,0.67
10,0.0,0.0,0.0,0.0,0.0,0.5,0.5
11,0.0,0.0,0.0,0.0,0.33,0.5,0.17
12,0.0,0.0,0.0,0.17,0.0,0.5,0.33
13,0.0,0.33,0.0,0.17,0.0,0.17,0.33
14,0.5,0.0,0.0,0.0,0.17,0.17,0.17
