Question,Completely_disagree,Disagree,Somewhat_disagree,Neutral,Somewhat_agree,Agree,Completely_agree
1,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2,0.33,0.17,0.33,0.17,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.67,0.33
4,0.0,0.0,0.0,0.0,0.0,0.17,0.83
5,0.0,0.0,0.0,0.0,0.0,0.67,0.33
6,0.0,0.0,0.0,0.0,0.0,0.17,0.83
7,0.0,0.0,0.5,0.17,0.33,0.0,0.0
8,0.0,0.33,0.17,0.0,0.17,0.33,0.0
9,0.0,0.0,0.0,0.0,0.0,0.17,0.83
10,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,0.0,0.0,0.0,0.0,0.5,0.33,0.17
12,0.0,0.0,0.0,0.17,0.33,0.5,0.0
13,0.0,0.5,0.0,0.17,0.17,0.17,0.0
14,0.33,0.33,0.17,0.17,0.0,0.0,0.0
