Question,Completely_disagree,Disagree,Somewhat_disagree,Neutral,Somewhat_agree,Agree,Completely_agree
1,0.0,0.0,0.0,0.0,0.0,0.83,0.17
2,0.0,0.0,0.0,0.0,0.0,0.17,0.83
3,0.0,0.0,0.0,0.0,0.17,0.17,0.67
4,0.0,0.0,0.0,0.0,0.0,0.17,0.83
5,0.0,0.0,0.0,0.0,0.0,0.5,0.5
6,0.0,0.0,0.0,0.0,0.0,0.17,0.83
7,0.0,0.0,0.0,0.0,0.0,0.17,0.83
8,0.0,0.0,0.0,0.0,0.0,0.33,0.67
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.67,0.33
12,0.0,0.0,0.17,0.0,0.0,0.5,0.33
13,0.0,0.5,0.0,0.0,0.0,0.33,0.17
14,0.33,0.33,0.0,0.17,0.0,0.0,0.17
